繁體	兼容格式	湯版頁碼	《阿拉宁波话》頁碼	朱版頁碼	釋義	備註	詞頻
中巴	tson pa						
中巴車	tson pa tsho						
棕繃	tson pan	288					
棕繃架子	tson pan ko tsy	288					55
棕繃眠牀	tson pan mi zaon	288					55
棕繃桯	tson pan thin	288	91	392			55
中幫	tson paon		223	34			55
中幫管	tson paon kun		223				55
鐘錶店	tson piau ti	288					
衆生	tson san	288	32	117			
中式褲	tson shiq khu	288					55
總督羹	tson toq kan	289					55
中裝	tson tsaon	288					
種草	tson tshau		129	262			55
種草多	tson tshau tou						
種菜籽	tson tshe tsy						
中指	tson tsy	288					
粽子	tson tsy	289					
種豬	tson tsyu	289					
中藥	tson yaq	288					
總是	tson zy				「總歸是」的省略		
總是介	tson zy ka		253				55
棕樹	tson zyu	288					
供	tson1		196	228	贍養	《字語彙解》p. 465 記音爲 cong，定海、白峯音 cion1。周志峯, 2008 認爲本字是「供」。	
宗	tson1	288		228			
盅	tson1	288					
種	tson3	288	114	262			
總	tson3	289					
種	tson5	289					
縱	tson5		136	185			
捉去	tsoq chi						
捉起	tsoq chi						
捉起來	tsoq chi le						
竹槍笆	tsoq chian po						
作漿	tsoq cian	341	168	163			55
作嬌	tsoq ciau	341	198	162			55
捉周	tsoq cieu						
捉鬮	tsoq cieu						
捉進	tsoq cin						
竹針	tsoq cin	340	93	111			55
捉進去	tsoq cin chi						
捉進來	tsoq cin le						
竹節蝦	tsoq ciq huo		67				55
作頭	tsoq deu	341	23	162			55
竹竇	tsoq deu						
竹頭	tsoq deu	340					55
䭁掉	tsoq diau			477			
捉住	tsoq dzyu						
捉住機遇	tsoq dzyu ci gniu						
捉住機會	tsoq dzyu ci wei						
捉人	tsoq gnin						
作孽	tsoq gniq	341					
作業簿	tsoq gniq bu						
竹椅子	tsoq i tsy	340					55
粥飲湯	tsoq in thaon	341	62				55
竹椅子	tsoq iu tsy	340					55
足球	tsoq jieu	340					
捉姦	tsoq kae						
作梗	tsoq kan	341	198	163			
作講	tsoq kaon	340	198, 203	162			55
作價	tsoq ko	340					
卓家灘	tsoq ko thae						
足過又足	tsoq kou yeu tsoq	340					55
竹管筒瓜	tsoq kun don kuo	340	74	112			55
捉牢	tsoq lau						
捉來	tsoq le						
捉來捉去	tsoq le tsoq chi						
捉漏	tsoq leu	341	193	292			55
𡎺漏	tsoq leu	341		403, 414			55
竹瀝	tsoq liq	340					55
斫毛竹	tsoq mau tsoq						
摘帽子	tsoq mau tsy		325				
竹眠牀	tsoq mi zaon	340					55
竹篾	tsoq miq	340					
啄木鳥	tsoq moq gniau	341					
捉眼	tsoq ngae						
作膿作血	tsoq non tsoq shiuq						
捉破	tsoq phou						
竹筆套管	tsoq piq thau kun	340					55
竹笆塘	tsoq po daon						
捉傷	tsoq saon						
竹筱	tsoq shiau	340		111			55
竹筱絲	tsoq shiau sy		102	111			55
作興	tsoq shin	341	198, 291	162			
足心	tsoq shin	340	217				
作啥	tsoq soq	341	40				10000
作啥幹	tsoq soq khi-khe						578
作啥幹	tsoq soq ki-ke	341	40				578
作啥體	tsoq soq thi	341					578
作啥	tsoq sou	341	40	163			2000
作啥幹	tsoq sou khi-khe						578
作啥幹	tsoq sou ki-ke	341	40				578
作啥體	tsoq sou thi	341					578
足歲	tsoq syu				週歲		
足輸贏	tsoq syu yin	340	286	157			55
竹筍	tsoq syun	340					
桌凳	tsoq ten	341	92	302			578
桌凳高頭	tsoq ten kau deu	341					418
桌凳裏	tsoq ten li	341					418
桌凳上頭	tsoq ten zaon deu	341					418
捉壯丁	tsoq tsaon tin						
作吵	tsoq tshau	340	198	162			55
作忖	tsoq tshen	341					55
作出	tsoq tshyuq		191				
喌喌	tsoq tsoq		302	400, 414			
作作動	tsoq tsoq don				形容人很愛使性子		
作作梗梗	tsoq tsoq kan kan						
瘃子斑	tsoq tsy pae			347			
𧋥蛛	tsoq tsyu		113	286			55
𧋥蛛亂網	tsoq tsyu loe maon		113	286			55
𧋥蛛斑	tsoq tsyu pae		54				55
作準	tsoq tsyun	341		163			
竹椅子	tsoq u tsy	340					55
作文簿	tsoq ven bu	341					
捉回	tsoq wei						
捉回去	tsoq wei chi						
捉回來	tsoq wei le						
捉癢	tsoq yan						
捉藥	tsoq yaq						
撮藥	tsoq yaq	341					
桌沿	tsoq yi	341					55
竹葉	tsoq yiq	340					
斫柴	tsoq za						
斫柴刀	tsoq za tau	341	104	247			55
竹牀	tsoq zaon	340					55
竹字頭	tsoq zy deu	340					55
斫樹	tsoq zyu	341					55
䭁	tsoq7	341	207	477			
作	tsoq7	340	198	162			
折	tsoq7		149	139			
捉	tsoq7	341	143				
摘	tsoq7		147				
撮	tsoq7			461			
斫	tsoq7	341	156	247			
瘃	tsoq7	341	54	437			
竹	tsoq7	340					
築	tsoq7		152				
簇	tsoq7	342	168	486			
粥	tsoq7	341					
足	tsoq7	340	286	157			
做爿廠	tsou bae chian						
做病	tsou bin	184	171	358			55
做部汽車	tsou bu chi tsho						
做部腳踏車	tsou bu ciaq daq tsho						
做秋汏	tsou chieu da						
做親	tsou chin			358			
做七	tsou chiq		181				
做七頭	tsou chiq deu	184	181				55
做繭	tsou ci	183					55
做記認	tsou ci gnin		202				55
做記勿着	tsou ci vaq dzoq		197				
做記弗着	tsou ci vaq dzoq						55
做記勿着	tsou ci vaq zoq						55
做記弗着	tsou ci vaq zoq						55
做張	tsou cian						
做賬	tsou cian	184					55
做腳	tsou ciaq	184	195	359			
做週年	tsou cieu gni						
做筋骨	tsou cin kuaq	184					55
做鬼勿大	tsou ciu vaq dou		246				
做鬼弗大	tsou ciu vaq dou						55
做埭路	tsou da lu						
做道場	tsou dau jian	183	181	361			55
做隊	tsou dei	183	195	357			55
做頭	tsou deu	183					
做頭七	tsou deu chiq						
做頭髮	tsou deu faq	183	191	360			55
做地頭	tsou di deu	182					55
做地𡍲	tsou di taq	183					55
做段路	tsou doe lu						
做大塘	tsou dou daon						
做大水	tsou dou syu	183	213				55
做重梅	tsou dzon mei	184	212				55
做重黴	tsou dzon mei	184	212				55
做風潮	tsou fon jiau		213				55
做風水	tsou fon syu	184	213	359			55
做號	tsou ghau		270	357			55
做人	tsou gnin	184					
做認	tsou gnin		202				55
做人客	tsou gnin khaq	184					418
做人家	tsou gnin ko	183	240	359			
做人勿來	tsou gnin vaq le	184	257				
做人弗來	tsou gnin vaq le						55
做人勿能翻白	tsou gnin vaq nen fae baq						
做人弗能翻白	tsou gnin vaq nen fae baq						1
做好人情	tsou hau zyun jin						
做花	tsou huo	183	191				55
做花繃	tsou huo pan	183	191				55
做䞁房	tsou i vaon	183					
做衣裳	tsou i zaon	183					55
做秧田	tsou ian di	184					55
做陰生	tsou in san		181	360			55
做陰壽	tsou in zhieu		181	360			55
做忌	tsou ji		240	358			55
做忌日	tsou ji gniq	183	181	360			55
做忌日羹飯	tsou ji gniq kan vae	183	181				55
做張	tsou jian						
做勁道	tsou jin dau		323				55
做梗	tsou kan						
做羹飯	tsou kan vae		181				55
做客	tsou khaq		203	358			
做窠生	tsou khou sen						
做家	tsou ko	183	240	358			55
做功	tsou kon	184					
做功德	tsou kon taq	184	181	359			55
做梗	tsou kuan						
做規矩	tsou kuei ciu		140				55
做賴三	tsou la sae						
做冷訊	tsou lan shin	184					55
做勒及	tsou laq ji						
做勒可憐	tsou laq khou li						
做勒相相	tsou laq shian shian						
做勒相樣	tsou laq shian yan						
做勒樣	tsou laq yan						
做亂夢	tsou loe maon	183	169				578
做媒	tsou mei	183					
做梅	tsou mei		212	359			55
做黴	tsou mei		212				55
做謎子	tsou mei tsy	183	183				418
做梅勿動雷	tsou mei vaq don lei						
做梅弗動雷	tsou mei vaq don lei						1
做眯眼	tsou mhi ngae	182					55
做嘸沒做着	tsou mhiq tsou dzoq		340				
做嘸沒做着	tsou mhiq tsou zoq						
做瓦筒個	tsou ngo don ghoq						55
做瓦筒個	tsou ngo don goq	183					55
做惡	tsou oq		199				55
做惡人	tsou oq gnin		199				55
做繃子	tsou pan tsy	183	191				55
做撥	tsou paq	184	202				55
做百日	tsou paq gniq						
做坯	tsou phei	183	33				55
做產	tsou sae	184	180	358			55
做三朝	tsou sae jiau	183	180		舊俗小孩生下後第三天祭祀牀神的活動，以求小孩睡眠安寧，快速成長。祭品除了一般酒菜之外，還有用十二隻酒盞盛的上綴紅糖的糯米飯，稱爲「商量盞」，供奉「牀公牀婆」。祭畢將糖飯分給鄰居小朋友喫		55
做生	tsou san	184	181	357			55
做生意	tsou san i	184					
做生姆	tsou san m	184					55
做生活	tsou san waq		191	360			55
做生活	tsou san wo	184	191	360			50000
做傷	tsou saon	184					55
做煞可憐	tsou saq khou li						
做色做號	tsou saq tsou ghau		270	3			55
做色做樣	tsou saq tsou yan	184	270	3, 361			55
做燥梅	tsou sau mei		212				55
做燥黴	tsou sau mei		212				55
做戲文	tsou shi ven	183	183	360			55
做小貨	tsou shiau hou	183	323	359			55
做小花臉	tsou shiau huo li		337				55
做小工	tsou shiau kon						
做手腳	tsou shieu ciaq	183					
做新婦	tsou shin vu	184	179	361			55
做沙蟹	tsou so ha						
做啥	tsou soq		40				2000
做啥	tsou sou		40	359			578
做雪	tsou syuq		213	359			55
做對手	tsou tei shieu		191	360			55
做𡍲	tsou thaq		11				55
做𡍲地方	tsou thaq di faon						
做彖路	tsou thoe lu						
做段路	tsou thoe lu						
做則	tsou tsaq		203	358			55
做隻褲腳筒	tsou tsaq khu ciaq don						
做初一	tsou tshu iq		323				55
做春天大亂夢	tsou tshyun thi dou loe maon				做白日夢；做春秋大夢；不切實際地胡思亂想		
做種	tsou tson		194				55
做作	tsou tsoq	184					
做做隊	tsou tsou dei	183					55
做做煞煞	tsou tsou saq saq		337				55
做仔	tsou tsy	184	203				55
做主意	tsou tsyu i		323				55
做房	tsou vaon		192	358			55
做勿及	tsou vaq ji						
做弗及	tsou vaq ji						1
做勿落手	tsou vaq loq shieu						
做弗落手	tsou vaq loq shieu						1
做勿相相	tsou vaq shian shian						
做弗相相	tsou vaq shian shian						1
做勿相樣	tsou vaq shian yan						
做弗相樣	tsou vaq shian yan						1
做勿相像	tsou vaq shian zhian						
做弗相像	tsou vaq shian zhian						1
做勿樣	tsou vaq yan						
做弗樣	tsou vaq yan						1
做勿像	tsou vaq zhian						
做弗像	tsou vaq zhian						1
做佛事	tsou vaq zy	184	181				55
做份人家	tsou ven gnin ko						
做無賴	tsou vu la		323	359			418
做話柄	tsou wo pin	183	323	361			55
做話把	tsou wo po		323				55
做無賴	tsou wu- la	183	323	359			418
做夜羹飯	tsou ya kan vae						
做夜作	tsou ya tsoq	183	191	360			55
做樣	tsou yan		270	358			55
做樣牌子	tsou yan ba tsy						
左右	tsou yeu						
做上加做	tsou zaon ko tsou		333				55
做市	tsou zy	182	205	357			55
做事體	tsou zy thi	182	190	360			55
做	tsou5	182	152, 202, 270, 300	357			
祖基	tsu ci	47		282			55
祖宗大人	tsu tson da zyun						
祖宗堂	tsu tson daon	47					55
紫葡萄	tsy bu dau		75	396			
紫絳紅	tsy cian ghon	2	272				55
紫絳色	tsy cian saq			396			
紙筋	tsy cin		87				55
仔跡	tsy ciq	1	240	66	（使用東西時）仔細	湯版後字作「潔」。《鄞縣通志》p. 2954 作「祇節」，可知後字爲尖音。	55
紫檀	tsy dae	2					
紫藤	tsy den	2					
紙頭	tsy deu	2	106				578
紙頭煝腐	tsy deu mei vu						
紙頭𤈦腐	tsy deu mei vu						55
紙頭打襉	tsy deu tan kae						
紫銅	tsy don	2					
紙行	tsy ghaon	2					
之後	tsy gheu	1					
煮下飯	tsy gho vae	2	188		燒菜		55
子女	tsy gniu	1					
子蟹	tsy ha	1					55
子蝦	tsy huo	1					55
致怨	tsy iu		199				55
致怨招怪	tsy iu ciau kua						
資格	tsy kaq		50				55
紫殼蟹	tsy khaon ha		65				55
指甲	tsy khaq	1	47	239		此處「甲」音 khaq	55
指甲鉗	tsy khaq ji						522
指甲伸	tsy khaq shin		246	239			55
指甲深	tsy khaq shin	1					55
指甲烏	tsy khaq u						
指甲縫道	tsy khaq von dau	2					55
子孔	tsy khon		42	24			55
子孔窞	tsy khon dei						
子孔頭	tsy khon deu	1	42	24			55
紫殼蟹	tsy khoq ha	2	65	396			55
支光	tsy kuaon	1	123	31			
仔了	tsy lei						55
仔𡀂	tsy lei		302	66			55
指末頭	tsy maq deu	1	46	239			578
指末頭短𠭴𠭴	tsy maq deu toe tshyuq tshyuq						
脂麻	tsy mo	1					
芝麻	tsy mo	1					
芝麻醬	tsy mo cian	1					
鯔魚	tsy ng	1					
紙襞箱	tsy paq shian	2	95				55
紙包㪗開	tsy pau theu khe						
子孫	tsy sen	1					
紙箱店	tsy shian ti	2					55
紫血	tsy shiuq	2					55
紫血泡	tsy shiuq phau	2	55	396			55
紫搭搭	tsy taq taq	2	272	396		湯版作「紫答答」。	55
至尊寶	tsy tsen pau						
紙窗	tsy tshaon		85	185			
紫菜	tsy tshe	2					
紫竹	tsy tsoq	2					
煮煮看	tsy tsy khe						
梔珠花	tsy tsyu huo	1					
煮飯	tsy vae		188				
紫胡萄	tsy wu dau	2	75	396		《阿拉宁波话》作「紫胡桃」，末字當爲「萄」。有趣的是，上海話胡桃又稱蒲桃，寧波話葡萄又称胡萄。	578
紙糊頭	tsy wu deu	2	120	185			578
之前	tsy zhi	1					
窒	tsy1	8	156	379			
仔	tsy3	1	304	66			
子	tsy3	1	306	24			
煮	tsy3	2					
紫	tsy3	2					
痣	tsy5	2					
嘴脯	tsyu bu	7	64	479	禽獸的嘴	朱版作「嘴䩉」。	55
豬筋	tsyu cin	7					55
拄蛋	tsyu dae						
豬頭三	tsyu deu sae						
蛀蟲爛末	tsyu dzon lae maq			353			
蛀蟲末爛	tsyu dzon maq lae			354			
豬肺頭	tsyu fi deu						
㨖鞋	tsyu gha						
拄鞋	tsyu gha	8					55
疰夏	tsyu gho	8	172	319			55
疰夏繩	tsyu gho zhin						
硃紅	tsyu ghon	7					
豬泥	tsyu gni	7	106	369			55
豬娘	tsyu gnian	7	109	369			55
主人家	tsyu gnin ko	7					
珠花	tsyu huo	7					55
主意	tsyu i	7		301			
注意	tsyu i	8	239				
豬廄	tsyu ji		88				55
豬廄間	tsyu ji kae	7	88				55
豬廄格柵	tsyu ji kaq saq						
豬廄攔柵	tsyu ji laq saq						
嘴革	tsyu kaq	8					
嘴革瘡	tsyu kaq tshaon			479			
豬狗相待	tsyu keu shian de						
豬肝	tsyu ki-ke	7					
豬拱地	tsyu kon di						
拄功好	tsyu kon hau						
嘴角瘡	tsyu koq tshaon	8	54	479	口角炎		55
豬關胎	tsyu kuae the						
疰浪	tsyu laon	8	172	319			55
拄牢	tsyu lau						
侏栗	tsyu liq	7		211			55
株栗	tsyu liq		75				55
豬玀	tsyu lou	7					
豬腦	tsyu nau	7					
蛀牙	tsyu ngo	8					
豬屙	tsyu ou	7					
豬涴	tsyu ou	7					55
嘴巴	tsyu po	7					
嘴巴爿	tsyu po bae		44	479			55
嘴巴皮	tsyu po bi	7	44	479			55
嘴巴噘噘	tsyu po ciuq ciuq	8					55
嘴巴淡出	tsyu po dae tshyuq						
嘴巴發出	tsyu po faq tshyuq						
嘴巴講燥	tsyu po kaon sau						
嘴巴牢	tsyu po lau	8					55
嘴巴嘸味道	tsyu po mh mi dau	8					55
嘴巴嘟起	tsyu po tu chi	7					55
嘴巴環	tsyu po wae						
侏掃帚	tsyu sau cieu		94		禿掃帚		55
玍掃帚	tsyu sau cieu		94		禿掃帚	「玍」爲俗字，「生」字不出頭，表示禿義。又作「侏掃帚」	
豬心	tsyu shin	7					
豬血	tsyu shiuq	7					
豬舍	tsyu so	7					
豬尿泡	tsyu syu phau						
豬尿脬	tsyu syu phau			369			
豬癲病	tsyu ti bin	7	56	369			55
疰車	tsyu tsho	8	172	319			55
蜘蛛	tsyu tsyu	7	113			湯版等皆作「蛛蛛」，非，應爲「蜘蛛」。	
主主意意	tsyu tsyu i i	7					55
蜘蛛亂網	tsyu tsyu loe maon		113				55
蜘蛛網	tsyu tsyu maon	7					55
蜘蛛網絲	tsyu tsyu maon sy	7					55
珠珠魚	tsyu tsyu ng		114	288			55
制服	tsyu voq	8					
豬羊架	tsyu yan ko						
豬油	tsyu yeu	7					
豬油餡	tsyu yeu ghae	7		369			55
豬油⿰米鬼	tsyu yeu khuei						
豬油芋艿	tsyu yeu n na						
豬油湯糰	tsyu yeu thaon doe	7	79				418
豬油湯糰燙丫麻	tsyu yeu thaon doe thaon o mo						
拄柴蓬	tsyu za bon						
豬槽	tsyu zau	7	88				55
疰船	tsyu zoe	8	172				55
嘴脣皮	tsyu zyun bi	8	44	479			55
嘴脣紅丟丟	tsyu zyun ghon tieu tieu						
嘴脣膏	tsyu zyun kau		57	479			55
侏	tsyu1	7	226	210			
支	tsyu1	7					
株	tsyu1	7		298			
炷	tsyu1	7	123	69, 274			
主	tsyu3		123	69			
㨖	tsyu5		160	418			
拄	tsyu5	8	148	193			
注	tsyu5	8	136	225			
窒	tsyu5	8					
𩋩	tsyu5			494			
準定	tsyun din	280		319			
鎮裏	tsyun li	280					
肫掌	tsyun tsaon				雞肫	見《字語彙解》p. 200	
準足	tsyun tsoq	280	250	319			55
鎮紙	tsyun tsy	280					
肫	tsyun1	280	65	215			
䟴	tsyun5			447			
振	tsyun5	280					
皴	tsyun5	280					
震	tsyun5			465			
㰵肉骨頭	tsyuq gnioq kuaq deu						
㰵一記	tsyuq iq ci						
㰵勒出	tsyuq laq tshyuq						
㰵奶奶	tsyuq nhe nhe						
㰵出來	tsyuq tshyuq le						
㰵指末頭	tsyuq tsy maq deu						
㰵㰵	tsyuq tsyuq						
㰵勿出	tsyuq vaq tshyuq						
㰵弗出	tsyuq vaq tshyuq						1
㔃	tsyuq7	371					55
㰵	tsyuq7	371	136	407	吮吸	《鄞縣通志》p.2998。《阿拉宁波话》作「咂」，音不合。	
都整	tu cin	45	283				55
賭鬼	tu ciu		32				
賭客	tu khaq	45					
賭坯	tu phei	45	32	400			55
賭輸贏	tu syu yin						
賭東道	tu ton dau		324	400			
肚子	tu tsy	45	45	166			
嘟嘴罵生	tu tsyu mo san						
肚	tu3	45					
烏鼻頭蟲	u baq deu dzon	51	114	44			55
焐被窠	u bi khou						
烏青	u chin	52	55	43			418
烏青塊	u chin khuei	52					55
烏清老早	u chin lau tsau		13				55
烏清早	u chin tsau		13	43			55
烏清早暗	u chin tsau ei-e		13				55
烏腳雞	u ciaq ci	52	110	43			55
烏龜	u ciu	51					
烏龜頭	u ciu deu	51					55
烏龜頭蟲	u ciu deu dzon	51					55
烏龜強盜坯	u ciu jian dau phei	51					55
萵苣筍	u ciu syun	220					55
烏蕩	u daon	52	5				55
烏頭	u deu	52					
烏肚腸	u du jian			44			
衣櫥	u dzyu	56	90	121			
衣櫥頭頂	u dzyu deu ten						
衣櫥凳	u dzyu ten			122			
焐番薯乾	u fae zyu ki-ke		70				55
烏風猛暴	u fon man pau		257	44			55
萵苣筍	u jiu syun	220					55
鄔隘	u ka						
誣告	u kau	52					
烏骨雞	u kuaq ci			43			
烏浪魚	u laon ng		70				55
烏浪魚鯗	u laon ng shian		70				55
烏浪鯗	u laon shian		70				55
烏浪鯗烤肉	u laon shian khau gnioq						
烏老鴉	u lau eu		111				55
烏老鴉	u lau o		111	43			55
烏老早	u lau tsau						
烏倫村	u len tshen	52	13	43			55
烏鱧魚	u li ng	51	69	43			55
烏鱧魚瓜	u li ng kuo	51	74	44			55
烏鱧魚子	u li ng tsy						
烏溜溜	u lieu lieu	52					
烏溜滑水	u lieu waq syu						
胡嚨	u lon		44	243			55
胡嚨頭	u lon deu		44	243			55
胡嚨哮管	u lon hau kun			243			
烏龍送	u lon son	52	13	43			55
烏斑	u pae	52	132	43			55
烏賽	u se	52	5				55
烏碎	u sei			221			
捂小雞	u shiau ci						
烏稍蛇	u shiau dzo			43			
烏筱絲	u shiau sy		102	43			55
焐心	u shin	52	177		稱心、舒心、滿意	湯版作「捂心」。	55
污素	u su	51	266	123	骯髒，不乾淨		55
焐酥豆	u su deu	52					55
污素不剌	u su paq la				骯髒，不乾淨		
污素不剌	u su paq laq				骯髒，不乾淨		
烏筍	u syun	52	73	43			55
萵筍	u syun	52					
捂雪	u syuq		213	289			55
熓頓頓	u ten ten	52	275	222	火光幽暗	湯版作「熓敦敦」。	55
烏湯	u thaon		5	221			55
烏態	u the	52	5	221			418
烏退	u thei						
烏早天亮	u tsau thi gnian						
烏早天亮	u tsau thiq gnian	52	13				55
烏采	u tshe	52	5				418
烏處	u tshyu		5	221			55
焐粥甏	u tsoq ban						
椅子	u tsy	56					
烏子	u tsy		131	42			55
椅子背	u tsy pei	56					55
烏紫楊梅	u tsy yan mei	51					55
烏珠	u tsyu	51	43				55
烏嘴烏臉	u tsyu u li	51	274	44			55
嗚哇	u ua				兒童用語，生病。例：囡囡嗚哇了（寶寶生病了）		
焐黃豆湯	u waon deu thaon						
烏油油	u yeu yeu	52		43			
烏雲	u yun	52					
烏雲倒暗	u yun tau ei-e						
烏賊	u zaq	52					
烏賊鰾腸	u zaq biau jian		68				55
烏賊蛋	u zaq dae	52	68				55
烏賊肚腸	u zaq du jian	52	68				55
烏賊韌	u zaq gnin	52					55
烏賊骨	u zaq kuaq			44			
烏賊骨頭	u zaq kuaq deu			44			
烏賊卵黃	u zaq loe uaon		68				55
烏賊卵丸	u zaq loe wun	52					55
烏賊鯗	u zaq shian	52	68				55
烏賊混子	u zaq wen tsy	52					55
捂蠶	u zei-ze						
洿	u1	51					
烏	u1	51	131				
熓	u1		213	222			
烏	u3		95	42			
捂	u5		156	289			
烏	u5			42			
焐	u5	52	189	375			
熩	u5		189				
壞喫	ua chioq	73	277	137			55
壞喫芋艿頭	ua chioq n na deu	73	33	137			
壞過	ua kou	73	177	137			55
壞坯子	ua phei tsy	73	33				55
壞	ua1	73	248	137			
窪	ua1		8				
挽親託眷	uae chin thoq ciu						
彎折格亂	uae ciq kaq loe	149	227	269			55
灣頭西底	uae deu shi ti						
彎角	uae koq	149	267	269			
彎到小姑進後堂	uae tau shiau ku cin gheu daon						
彎轉	uae tsoe		163				55
彎轉大校場	uae tsoe dou kau jian						
彎轉灰街弄	uae tsoe huei ka lon						
彎轉賣蓆橋	uae tsoe ma zhiq jiau						
帵子	uae tsy	149	60	354			55
彎	uae1	149	163	269			
灣	uae1		9				
凂	uae3		195	271			
娃	uae3	149	20	284		「娃」之兒化變音	
挽	uae3	149	195	292			
浼	uae3		195	325			
橫裏	uan li			463			
橫𠡒	uan tei	227	247	463			55
橫致致	uan tsy tsy	227	292	464			55
橫糊裏拉	uan wu li la						
橫糊裏拉	uan wu li lha						
黃蒲蒲	uaon bu bu	245	263		軟軟的	《阿拉宁波话》作「黃脯脯」。	55
尢介大	uaon ka dou				形容小孩只有一點點大。例：生出辰光是只尢介大啦，一時三刻讀大學了。	《玉篇》尢，烏光切。跛曲脛也。又僂也。短小也。	
黃殼蟹	uaon khoq ha						
汪家宅跟	uaon ko dzaq ken						
曂亮	uaon lian	245	213	466			55
汪汪狗	uaon uaon keu						
枉爲	uaon wei	245	295	198			55
望	uaon1	244					
黃	uaon3	244	262	501			
挖鼻頭屙	uaq baq deu ou						
挖鼻頭涴	uaq baq deu ou						1
挖起	uaq chi			240			
挖井	uaq cin	331					
挖袋	uaq de	331	58	240			55
挖耳	uaq gni	331	94	240			55
挖爛腳疤	uaq lae ciaq po		334				55
殟老老	uaq lau lau	331	221	424			55
屋裏	uaq li		82	283			
挖壁打洞	uaq piq tan don	331	334	240			55
殟塞	uaq saq	331	220	424		蘇州、上海讀作 ueq seq，故後字非「煞」。	55
挖沙蟹	uaq so ha						
挖打	uaq tan	331	269	240			55
䩊	uaq7	331		484			
挖	uaq7	331	165	239			
𩑦	uaq7	332	168	318			
委氣	uei chi		128	210			55
萎頭脫腦	uei deu thaq nau		235	343			55
萎頭萎腦	uei deu uei nau	175	235	343			55
煨番薯	uei fae zyu	175					55
萎搭搭	uei taq taq		235				55
萎篤篤	uei toq toq	175	235	343			55
偎竈貓	uei tsau mhau		109				55
煨粥	uei tsoq						
畏惡	uei wu	175	177	253			55
委實	uei zyuq			210			
煨	uei1		190	438			
萎	uei1	175	235	343			
搵白糖	uen baq daon						
瘟病棺材	uen bin kun ze						
瘟雞	uen ci	278	110				55
瘟雞耷頭	uen ci taq deu						
搵醬油	uen cian yeu						
搵糖	uen daon						
溫課	uen khou	278					55
搵米醋	uen mi tshu						
搵墨	uen moq						
搵眼的	uen ngae tiq						
搵筆	uen piq						
瘟孫	uen sen	278	31	453	不諳世事、容易受騙卻又不自知的人	湯版作「瘟牲」，《阿拉宁波话》也作「瘟生」。《明清吳語詞典》作「瘟孫」或「瘟生」。《杭州方言詞典》記音 uen suen，寫作「瘟孫」。杭州話「孫」suen1、「生」sen1 不同音，故應寫作「瘟孫」。	55
瘟孫兒子	uen sen ng tsy						
溫吞	uen then	278		410			
溫吞水	uen then syu	278					55
瘟跌倒	uen tiq tau	278	325				55
穩篤六株	uen toq loq tsyu	278	218	449			55
穩篤六株過日腳	uen toq loq tsyu kou gniq ciaq						
薀藻	uen tsau	278					55
薀草	uen tshau		116	463			55
搵醋	uen tshu						
搵搵其	uen uen ji						
瘟	uen1		283				
穩	uen3	278	291				
搵	uen5	278	158	386			
碗爿	un bae	248					55
碗爿麩	un bae fu						
碗腳	un cian	248	77	424			55
碗腳	un ciaq	248	77	424			55
碗腳底	un ciaq ti		99				55
碗頭蔥	un deu tshon	248	73	424			55
碗頭蔥烤河鯽魚	un deu tshon khau ghou ci ng						
碗頭碗尾	un deu un mi	248				《阿拉宁波话》作「碗頭碗面」。滸山話中末字爲「尾」的兒化，「面」音不合。	55
碗桶	un don	248					55
碗行	un ghaon	248					55
碗底	un ti	248					55
碗盞	un tsae	248	99	424			578
碗盞敲腐	un tsae khau vu						
碗蔥	un tshon	248	73	424			55
碗足底	un tsoq ti	248	99		碗底；碗底邊的圈	湯版作「碗桌底」。	55
碗	un3	248					
蛙泳	uo ion	121					
搲垃圾	uo la shi						
搲疄頭	uo lin deu						
搲龍船	uo lon zoe	105					55
搲飯	uo vae						
搲船	uo zoe	105					55
搲	uo1	105, 121	145	388, 421			
𠲎	va2	59					
犯怏	vae aon	133	178	67			55
飯阿講喫	vae aq kaon chioq						
飯瓢	vae biau	134	98				
犯病痼毒	vae bin ku doq						
飯𣖄	vae chiau	134	98	169	盛飯勺	𣖄，《廣韻》七遙切，抄飯匙也。音義合。《阿拉宁波话》又作「飯鍬」，非。	55
飯𣖄骨	vae chiau kuaq	134	45	170	俗稱，肩胛骨	湯版作「飯翹骨」，《阿拉宁波话》又作「飯鍬骨」，非。	55
飯喫勒悶飽	vae chioq laq mhen pau						
飯喫煞	vae chioq saq		320				55
飯喫忒多	vae chioq thaq tou						
飯喫忒多	vae chioq thou tou						
飯𣥼勒穿頂	vae ci laq tshoe tin						
飯𣥼彌滿	vae ci mhi mun						
飯脹脯了	vae cian bu lei						55
飯脹脯𡀂	vae cian bu lei	134					55
飯蒸	vae cin	134	96	169			55
萬金油	vae cin yeu						
飯頭腦	vae deu nau	134	24	169			55
飯桶	vae don	134					
煩雜	vae dzaq	133	255	322			
犯着	vae dzoq		198	67			55
犯法	vae faq	134					
飯鑊	vae ghoq	135	96	169			578
飯鑊頭蒼蠅	vae ghoq deu tshaon in	135	35	170			55
飯鑊飲湯	vae ghoq in thaon	135	61	170			55
萬年青	vae gni chin	135					
晚孃拳頭	vae gnian jiu deu						
犯人	vae gnin	133					
萬人傘	vae gnin sae						
萬人訕	vae gnin sae						
萬人唾罵	vae gnin thou mo						
犯人車	vae gnin tsho	134					55
萬人尋	vae gnin zhin						
萬花筒	vae huo don	135					
